word,mean,level
submit,提出する,600
approve,承認する,600
procedure,手順,600
equipment,設備・機器,600
candidate,候補者,600
contract,契約,600
invoice,請求書,600
colleague,同僚,600
extension,内線・延長,600
notify,通知する,600
available,利用可能な,600
annual,年次の,600
benefit,利益・手当,600
confirm,確認する,600
delivery,配達,600
description,説明,600
estimate,見積もり,600
increase,増加させる,600
inventory,在庫,600
prepare,準備する,600
advertise,宣伝する,600
agreement,合意・契約,600
apply,応募する,600
appointment,予約・指名,600
article,記事・品目,600
aspect,側面,600
assistance,援助,600
attach,添付する,600
audience,聴衆,600
author,著者,600
average,平均,600
beverage,飲料,600
board,取締役会・掲示板,600
branch,支店,600
budget,予算,600
career,経歴,600
celebrate,祝う,600
client,顧客,600
committee,委員会,600
commute,通勤する,600
complain,苦情を言う,600
complete,完了する,600
component,構成要素,600
conference,会議,600
congratulate,祝う,600
consider,検討する,600
construction,建設,600
consumer,消費者,600
contact,連絡する,600
container,容器,600
contribution,貢献,600
convenient,便利な,600
convince,納得させる,600
corporate,企業の,600
cost,費用,600
current,現在の,600
customer,顧客,600
deadline,締め切り,600
decade,10年間,600
decrease,減少する,600
delay,遅らせる,600
department,部門,600
deposit,預金・手付金,600
design,設計する,600
detail,詳細,600
development,開発,600
device,装置,600
direction,指示・方向,600
director,責任者・取締役,600
discount,割引,600
display,展示する,600
distance,距離,600
district,地区,600
document,書類,600
domestic,国内の,600
downtown,中心街,600
earn,稼ぐ,600
economy,経済,600
education,教育,600
effect,効果,600
efficient,効率的な,600
effort,努力,600
election,選挙,600
electronic,電子の,600
employee,従業員,600
employer,雇い主,600
employment,雇用,600
energy,エネルギー,600
engine,エンジン,600
engineer,技術者,600
entire,全体の,600
environment,環境,600
establish,設立する,600
estate,不動産,600
event,行事,600
excellent,優れた,600
executive,重役,600
exhibition,展示会,600
exit,出口,600
expect,予期する,600
expense,費用,600
experience,経験,600
expert,専門家,600
explain,説明する,600
export,輸出する,600
express,表現する・急行の,600
facility,施設,600
factory,工場,600
familiar,よく知られた,600
fare,運賃,600
feature,特徴,600
fee,料金,600
field,分野,600
finally,ついに,600
finance,財務,600
firm,会社,600
flight,飛行便,600
focus,集中させる,600
foreign,外国の,600
formal,公式の,600
former,前の,600
fortunate,幸運な,600
furniture,家具,600
future,未来,600
general,一般的な,600
government,政府,600
graduate,卒業する,600
growth,成長,600
guarantee,保証する,600
guide,案内する,600
handle,扱う,600
headquarters,本社,600
health,健康,600
history,歴史,600
holiday,休日,600
honor,名誉,600
hospital,病院,600
hotel,ホテル,600
however,しかしながら,600
identify,特定する,600
image,画像・印象,600
imagine,想像する,600
immediately,すぐに,600
improve,改善する,600
include,含む,600
income,所得,600
individual,個人の,600
industry,産業,600
influence,影響,600
information,情報,600
initial,最初の,600
injury,負傷,600
inspect,検査する,600
install,設置する,600
instead,代わりに,600
instruction,指示,600
insurance,保険,600
interest,興味・利子,600
international,国際的な,600
interview,面接,600
introduce,紹介する,600
invest,投資する,600
invitation,招待,600
item,項目・品目,600
journey,旅行,600
judge,判断する,600
knowledge,知識,600
labor,労働,600
landscape,風景,600
language,言語,600
latest,最新の,600
launch,開始する,600
lawyer,弁護士,600
leader,指導者,600
lecture,講義,600
legal,法律の,600
length,長さ,600
level,水準,600
license,免許,600
likely,〜しそうな,600
limit,制限する,600
local,地元の,600
locate,位置させる,600
location,場所,600
luggage,手荷物,600
machine,機械,600
magazine,雑誌,600
maintain,維持する,600
major,主要な,600
manager,経営者・部長,600
manner,方法・行儀,600
manufacturer,製造業者,600
market,市場,600
material,材料,600
measure,測定する,600
mention,言及する,600
message,伝言,600
method,方法,600
middle,中央の,600
modern,現代の,600
moment,瞬間,600
national,国家の,600
necessary,必要な,600
negotiate,交渉する,600
network,ネットワーク,600
notice,通知・掲示,600
object,物体・反対する,600
offer,提供する,600
office,事務所,600
official,公式の,600
opinion,意見,600
opportunity,機会,600
option,選択肢,600
order,注文,600
original,独創的な・元の,600
otherwise,さもなければ,600
owner,所有者,600
package,小包,600
participant,参加者,600
particular,特定の,600
passenger,乗客,600
payment,支払い,600
perfect,完璧な,600
perform,実行する,600
period,期間,600
permit,許可する,600
personal,個人の,600
personnel,人事部・全職員,600
policy,政策・方針,600
population,人口,600
position,職・位置,600
possible,可能な,600
postpone,延期する,600
potential,潜在的な,600
practical,実用的な,600
prefer,好む,600
presentation,プレゼン,600
previous,前の,600
price,価格,600
private,私的な,600
process,過程,600
produce,生産する,600
product,製品,600
professional,専門的な,600
profit,利益,600
program,計画・番組,600
project,事業,600
promote,昇進させる,600
proper,適切な,600
property,財産・不動産,600
protect,保護する,600
provide,提供する,600
public,公共の,600
publish,出版する,600
purchase,購入する,600
purpose,目的,600
quality,品質,600
quarter,四半期,600
range,範囲,600
rapid,急速な,600
rate,割合・料金,600
reach,到着する,600
realize,気づく・実現する,600
reason,理由,600
receive,受け取る,600
recent,最近の,600
recognize,認める,600
recommend,推薦する,600
record,記録,600
reduce,減らす,600
reference,参照・照会,600
refuse,拒否する,600
region,地域,600
register,登録する,600
regular,定期的な,600
reject,拒絶する,600
relation,関係,600
relax,くつろぐ,600
release,公開する,600
reliable,信頼できる,600
remain,残る,600
remember,覚えている,600
remind,思い出させる,600
repair,修理する,600
repeat,繰り返す,600
replace,取り替える,600
reply,返事をする,600
report,報告する,600
request,要請する,600
require,必要とする,600
reserve,予約する,600
resource,資源,600
respect,尊敬する,600
respond,応答する,600
result,結果,600
retail,小売,600
return,戻る,600
review,再検討,600
revision,改訂,600
reward,報酬,600
role,役割,600
safety,安全,600
salary,給与,600
sale,販売,600
sample,見本,600
schedule,予定,600
search,探す,600
section,部門,600
secure,確保する,600
select,選ぶ,600
separate,分ける,600
serious,深刻な,600
service,サービス,600
session,集まり・期間,600
share,共有する,600
sheet,用紙,600
shipping,出荷,600
similar,似ている,600
simple,簡単な,600
situation,状況,600
skill,技能,600
solve,解決する,600
source,源,600
special,特別な,600
speech,演説,600
staff,職員,600
standard,標準,600
statement,声明・明細書,600
station,駅,600
stock,在庫・株式,600
strategy,戦略,600
subject,主題・件名,600
success,成功,600
suggest,提案する,600
supply,供給する,600
support,支持する,600
survey,調査,600
system,体系,600
target,標的,600
tax,税金,600
technical,技術的な,600
technology,科学技術,600
temporary,一時的な,600
term,期間・用語,600
throughout,いたる所に,600
ticket,切符,600
total,合計の,600
tour,見学,600
traffic,交通,600
training,研修,600
transfer,転勤させる,600
transportation,輸送,600
